Algorithm,InputSize_N,RecursiveCallCount,SubProblemScale_First50
MergeSort,10,9,10 5 3 2 2 5 3 2 2 
QuickSort,10,6,10 7 6 2 3 2 
MergeSort,100,99,100 50 25 13 7 4 2 2 3 2 6 3 2 3 2 12 6 3 2 3 2 6 3 2 3 2 25 13 7 4 2 2 3 2 6 3 2 3 2 12 6 3 2 3 2 6 3 2 3 2 
QuickSort,100,67,100 76 8 6 3 2 2 67 64 6 4 2 57 17 4 2 12 2 9 3 2 5 4 3 2 39 9 4 3 2 4 2 29 3 2 25 23 15 10 2 7 3 2 3 4 2 7 4 3 2 
MergeSort,1000,999,1000 500 250 125 63 32 16 8 4 2 2 4 2 2 8 4 2 2 4 2 2 16 8 4 2 2 4 2 2 8 4 2 2 4 2 2 31 16 8 4 2 2 4 2 2 8 4 2 2 4 
QuickSort,1000,674,1000 723 236 106 82 77 66 39 9 8 7 5 3 29 22 17 4 3 12 8 3 2 4 3 2 3 2 4 3 2 6 4 3 2 26 5 4 2 20 10 2 7 6 5 3 9 7 4 3 2 
MergeSort,2000,1999,2000 1000 500 250 125 63 32 16 8 4 2 2 4 2 2 8 4 2 2 4 2 2 16 8 4 2 2 4 2 2 8 4 2 2 4 2 2 31 16 8 4 2 2 4 2 2 8 4 2 2 
QuickSort,2000,1347,2000 1383 1337 226 15 10 7 5 4 3 2 2 4 3 2 210 162 133 51 14 11 7 5 4 3 2 3 2 2 36 30 28 5 3 22 11 8 7 2 4 2 2 10 9 8 6 4 2 5 4 
MergeSort,5000,4999,5000 2500 1250 625 313 157 79 40 20 10 5 3 2 2 5 3 2 2 10 5 3 2 2 5 3 2 2 20 10 5 3 2 2 5 3 2 2 10 5 3 2 2 5 3 2 2 39 20 10 5 
QuickSort,5000,3403,5000 3534 2804 2731 1111 148 42 2 39 3 35 18 5 4 2 12 5 3 2 6 5 3 16 12 3 2 8 6 2 3 2 3 2 105 101 47 37 7 6 5 2 2 29 22 21 20 10 9 7 2 
MergeSort,10000,9999,10000 5000 2500 1250 625 313 157 79 40 20 10 5 3 2 2 5 3 2 2 10 5 3 2 2 5 3 2 2 20 10 5 3 2 2 5 3 2 2 10 5 3 2 2 5 3 2 2 39 20 10 
QuickSort,10000,6949,10000 6995 3751 2454 1637 1484 1056 930 353 243 180 145 37 16 10 3 2 6 3 2 2 5 4 3 2 20 8 2 5 2 2 11 10 8 3 2 4 2 107 83 46 6 2 3 2 39 36 11 10 4 
MergeSort,100000,99999,100000 50000 25000 12500 6250 3125 1563 782 391 196 98 49 25 13 7 4 2 2 3 2 6 3 2 3 2 12 6 3 2 3 2 6 3 2 3 2 24 12 6 3 2 3 2 6 3 2 3 2 12 6 
QuickSort,100000,82771,100000 69269 18041 16210 3252 2319 1975 1600 1517 951 774 329 306 164 155 91 24 23 22 20 19 18 16 15 8 7 5 4 2 6 5 4 3 2 66 65 44 38 37 36 17 16 15 14 12 11 10 9 8 7 
